x,Curve1
0.295069,0.0969302
0.299111,0.119713
0.307195,0.134609
0.319321,0.153144
0.323363,0.176287
0.327405,0.172201
0.335489,0.22029
0.343573,0.233594
0.347615,0.250624
0.351657,0.262661
0.355699,0.302355
0.363783,0.324397
0.383994,0.391355
0.404204,0.466629
0.428456,0.562945
0.460792,0.648017
0.485044,0.71176
0.509297,0.754745
0.557801,0.737248
0.586095,0.71176
0.602264,0.687153
0.638642,0.663397
0.666936,0.632994
0.683104,0.61111
0.69523,0.569586
0.711399,0.51253
0.739693,0.450497
0.755861,0.450497
0.767987,0.450497
0.804365,0.472134
0.840744,0.49481
0.9135,0.530883
0.949879,0.506554
0.986257,0.483339
1.0388,0.461189
1.07922,0.461189
1.11964,0.450497
1.16411,0.419886
1.18836,0.382282
1.20857,0.343989
1.27728,0.313182
1.3177,0.320615
1.35408,0.332096
1.3945,0.343989
1.43088,0.356307
1.49555,0.37342
1.53597,0.37342
1.57639,0.37342
1.61681,0.37342
1.65724,0.377825
1.69361,0.382282
1.73808,0.40537
1.77445,0.424839
1.81083,0.445244
1.84721,0.472134
1.88359,0.49481
1.91997,0.524693
1.9523,0.562945
1.98868,0.596943
2.04123,0.671223
2.07357,0.720156
2.10186,0.781773
2.13015,0.848661
2.15845,0.921272
2.18674,1.0001
2.21908,1.073
2.26354,1.15123
2.29588,1.17855
2.33226,1.23516
2.36863,1.29448
2.40905,1.3252
2.44543,1.35665
2.48585,1.38885
2.52627,1.40524
2.59499,1.22076
2.6152,1.09847
2.63541,1.0001
2.67179,0.921272
2.70816,0.889422
2.74454,0.848661
2.78496,0.819321
2.82134,0.781773
2.86176,0.763649
2.89814,0.737248
2.96686,0.71176
3.00728,0.703461
3.0477,0.695259
3.08812,0.695259
3.12854,0.695259
3.16896,0.695259
3.20938,0.695259
3.2498,0.695259
3.28618,0.687153
3.36297,0.671223
3.39935,0.663397
3.43977,0.648017
3.47615,0.632994
3.51657,0.61111
3.55699,0.596943
3.59337,0.583104
3.63379,0.569586
3.67017,0.562945
3.7308,0.549894
3.77122,0.549894
3.81164,0.543483
3.85206,0.537146
3.89248,0.537146
3.92886,0.530883
3.96928,0.530883
4.0097,0.537146
4.05012,0.537146
4.09054,0.530883
4.13096,0.530883
4.17138,0.530883
4.2118,0.530883
4.25222,0.530883
4.29264,0.530883
4.33306,0.530883
4.4139,0.524693
4.45432,0.524693
4.49475,0.524693
4.53517,0.524693
4.57559,0.524693
4.61601,0.524693
4.65643,0.530883
4.69685,0.530883
4.73727,0.530883
4.77769,0.530883
4.81811,0.530883
4.85853,0.530883
4.89895,0.530883
4.93937,0.530883
4.97979,0.530883
5.02021,0.530883
5.06063,0.524693
5.10105,0.524693
5.14147,0.524693
11.5,0.1
