x,Curve3
0.250606,0.0329951
0.274859,0.0349952
0.278901,0.0393584
0.295069,0.0566544
0.299111,0.063718
0.303153,0.0716623
0.315279,0.0938994
0.327405,0.105611
0.339531,0.117395
0.355699,0.130498
0.363783,0.146771
0.388036,0.159369
0.408246,0.177159
0.432498,0.211321
0.468876,0.221526
0.497171,0.237736
0.533549,0.237777
0.553759,0.188005
0.578011,0.173183
0.606306,0.161417
0.642684,0.163353
0.679062,0.159587
0.719483,0.159617
0.755861,0.16344
0.772029,0.152328
0.804365,0.141982
0.836702,0.132338
0.877122,0.13551
0.905416,0.127797
0.945837,0.127821
0.986257,0.129356
1.02668,0.13091
1.05901,0.137229
1.09539,0.135649
1.13177,0.132522
1.17219,0.130999
1.21261,0.131024
1.24495,0.137349
1.28133,0.135768
1.3177,0.135791
1.35812,0.140689
1.39854,0.145764
1.43492,0.151018
1.47534,0.156465
1.50768,0.164018
1.54406,0.169931
1.57639,0.162155
1.61681,0.162186
1.65724,0.160322
1.69361,0.158477
1.73403,0.156656
1.77445,0.154855
1.81487,0.153076
1.85125,0.158594
1.87955,0.151334
1.91997,0.153151
1.96039,0.153181
2.00081,0.15502
2.03719,0.156879
2.07357,0.162534
2.10994,0.170383
2.14228,0.164508
2.17866,0.166481
2.21908,0.170471
2.2595,0.172518
2.29588,0.17665
2.3363,0.178771
2.37268,0.183053
2.4131,0.18744
2.45352,0.189691
2.48989,0.194234
2.53032,0.196567
2.57074,0.198927
2.60711,0.203691
2.64753,0.206138
2.67987,0.216088
2.71625,0.216125
2.75263,0.213638
2.78901,0.216199
2.82943,0.21624
2.86985,0.218837
2.91027,0.218879
2.95069,0.221507
2.99111,0.221549
3.03153,0.221591
3.07195,0.224253
3.11237,0.224295
3.15279,0.224338
3.18917,0.227028
3.22959,0.227071
3.26597,0.238037
3.30234,0.229833
3.33872,0.232588
3.37914,0.232633
3.41956,0.235426
3.45998,0.235471
3.5004,0.238299
3.54082,0.241161
3.58124,0.241207
3.61762,0.244099
3.65804,0.244145
3.69846,0.247077
3.73888,0.247124
3.7793,0.250092
3.81973,0.250139
3.86015,0.253143
3.90057,0.253191
3.9329,0.262314
3.97332,0.256271
4.01374,0.25632
4.05012,0.256364
4.09054,0.259442
4.13096,0.259492
4.17138,0.259541
4.2118,0.262658
4.25222,0.262708
4.29264,0.262758
4.33306,0.265913
4.37348,0.265964
4.4139,0.266014
4.45432,0.266065
4.49475,0.26926
4.53517,0.269311
4.57559,0.269362
4.61196,0.272592
4.65238,0.272644
4.69281,0.272696
4.73323,0.272747
4.77365,0.276023
4.81407,0.276075
4.85449,0.276128
4.89491,0.279444
4.93533,0.279497
4.97575,0.27955
5.01617,0.279603
5.05659,0.282961
5.09701,0.283015
5.13743,0.283068
5.17381,0.289848
5.20614,0.300291
11.5,0.08
