x,Curve1
0.194018,0.118701
0.214228,0.130411
0.21827,0.121537
0.222312,0.146673
0.226354,0.17494
0.230396,0.21614
0.234438,0.192186
0.23848,0.216148
0.242522,0.276632
0.250606,0.293379
0.25869,0.329963
0.25869,0.329963
0.270816,0.412505
0.274859,0.417387
0.282943,0.469436
0.303153,0.580035
0.303153,0.580035
0.311237,0.700009
0.327405,0.864914
0.339531,0.972788
0.359741,1.06875
0.388036,1.0943
0.41633,1.14711
0.444624,1.17453
0.47696,1.24578
0.509297,1.32135
0.537591,1.43479
0.569927,1.40169
0.594179,1.3533
0.626516,1.35351
0.658852,1.3859
0.687146,1.4358
0.715441,1.54087
0.747777,1.63434
0.772029,1.65384
0.812449,1.6737
0.85287,1.67402
0.864996,1.61614
0.897332,1.59751
0.937753,1.5607
0.966047,1.47187
0.998383,1.4549
1.0388,1.47237
1.07922,1.47265
1.11156,1.50789
1.1439,1.4731
1.18432,1.47338
1.22474,1.43944
1.25707,1.45667
1.27728,1.45681
1.3177,1.44006
1.35812,1.44034
1.3945,1.42376
1.42684,1.4408
1.46322,1.40759
1.50364,1.37516
1.54002,1.34346
1.58044,1.31251
1.58852,1.28208
1.62086,1.28227
1.66128,1.26754
1.69766,1.25295
1.73808,1.23855
1.77445,1.1819
1.81083,1.16829
1.84721,1.14136
1.88763,1.11506
1.92401,1.07663
1.96443,1.05183
1.97251,1.02745
2.00485,1.0156
2.04527,1.03994
2.08569,1.04014
2.12611,1.04034
2.16249,1.05281
2.22312,1.05311
2.2312,1.04085
2.26758,1.02887
2.28779,1.07848
2.32417,1.07866
2.36055,1.09159
2.40097,1.1047
2.44139,1.11797
2.48181,1.1314
2.52223,1.14498
2.55861,1.15871
2.6152,1.18657
2.65562,1.17294
2.69604,1.17316
2.74454,1.15972
2.78496,1.1464
2.82134,1.10689
2.86176,1.06876
2.89814,1.01987
2.93452,0.984723
2.97494,0.950803
3.00323,0.907277
3.03557,0.896817
3.07599,0.896988
3.11237,0.886663
3.15279,0.866238
3.19321,0.856284
3.23363,0.846444
3.27001,0.836701
3.31043,0.827086
3.35085,0.808033
3.38723,0.789404
3.41956,0.789524
3.45594,0.762313
3.49232,0.73604
3.53274,0.702386
3.56912,0.678178
3.6055,0.654805
3.64592,0.632249
3.6823,0.617673
3.71463,0.596374
3.8076,0.549533
3.86823,0.524457
3.90865,0.51843
3.94907,0.512472
3.98545,0.506574
4.02183,0.494895
4.06225,0.483494
4.09863,0.477929
4.13905,0.472437
4.17542,0.456154
4.21584,0.450913
4.25222,0.440517
4.29264,0.430369
4.33306,0.430451
4.36944,0.420527
4.40986,0.410839
4.45028,0.406118
4.48666,0.396755
4.52708,0.392196
4.58771,0.378722
4.62813,0.369998
4.69685,0.3573
4.73727,0.357368
4.7979,0.337077
4.8464,0.321677
4.88682,0.31798
4.92724,0.314326
4.96362,0.30708
5.00404,0.303551
5.02829,0.30004
5.06871,0.296592
5.13339,0.283063
5.18998,0.263868
5.22635,0.260831
11.5,0.1
