x,Curve2
0.274859,0.274859
0.278901,0.123009
0.286985,0.143311
0.299111,0.234741
0.339531,0.375624
0.359741,0.469605
0.39612,0.594084
0.440582,0.845279
0.493129,0.825854
0.553759,0.778963
0.594179,0.770011
0.658852,0.788557
0.69523,0.836407
0.743735,0.897695
0.816492,0.941208
0.848828,0.986642
0.885206,1.02221
0.925627,1.05908
0.957963,1.08442
1.03072,1.04723
1.05497,1.02303
1.09135,1.01125
1.12773,0.987936
1.16006,0.920837
1.18836,0.848254
1.24091,0.754419
1.27728,0.719911
1.31366,0.686982
1.37833,0.625548
1.41471,0.589963
1.44705,0.556392
1.48343,0.537216
1.52385,0.500748
1.56023,0.494984
1.60065,0.495078
1.66936,0.489454
1.70978,0.489547
1.7502,0.495426
1.79062,0.49552
1.83104,0.495614
1.90784,0.495793
1.94422,0.513666
2.00081,0.519874
2.04123,0.519973
2.08165,0.520072
2.12207,0.526318
2.16249,0.526418
2.20291,0.526518
2.24333,0.532841
2.32013,0.526808
2.36055,0.526908
2.40097,0.527008
2.44139,0.520952
2.48181,0.514965
2.51819,0.509038
2.57478,0.497349
2.6152,0.491634
2.65158,0.4803
2.692,0.469235
2.72838,0.453063
2.7688,0.442626
2.84559,0.41265
2.88601,0.403144
2.92239,0.384704
2.95877,0.371445
2.99919,0.35865
3.03557,0.346289
3.07599,0.338312
3.15683,0.330581
3.19725,0.330644
3.23767,0.330707
3.27809,0.334678
3.31851,0.334742
3.35893,0.338762
3.39531,0.342824
3.43573,0.346941
3.47615,0.347007
3.51657,0.351174
3.55699,0.355391
3.59337,0.359653
3.66209,0.36402
3.70251,0.364089
3.74293,0.364159
3.78335,0.368532
3.82377,0.368602
3.86419,0.368672
3.90461,0.373099
3.94503,0.37317
3.98545,0.373241
4.07033,0.369029
4.11075,0.369099
4.15117,0.369169
4.19159,0.364927
4.23201,0.364996
4.27243,0.365066
4.31285,0.360871
4.35327,0.360939
4.38965,0.356785
4.43007,0.356853
4.47049,0.352752
4.51091,0.352819
4.55133,0.348764
4.59175,0.348831
4.63217,0.344822
4.69281,0.34492
4.73323,0.340957
4.77365,0.341021
4.81002,0.337096
4.8464,0.333216
4.88682,0.33328
4.92724,0.32945
4.96766,0.329512
5.00404,0.329569
5.04446,0.325781
5.08488,0.322038
5.1253,0.322099
5.16168,0.318391
11.5,0.081
